id,legacyId,firstName,lastName,avgRating,numRatings,wouldTakeAgainPercent,avgDifficulty,department
VGVhY2hlci0zMDUxNDY2,3051466,Mathilde,Gerbelli-Gauthier,4.7,28,96.4286,3.2,Mathematics
VGVhY2hlci0zMTM3MTI4,3137128,Micah,Freedman,1.0,4,0.0,3.0,Biology
VGVhY2hlci0xODc3MDkz,1877093,Kripa,Freitas,2.6,217,37.1287,4.2,Economics
VGVhY2hlci0zMDkyNDY5,3092469,Caleb,Pomeroy,5.0,13,100.0,1.7,Political Science
VGVhY2hlci0yOTk2NTM1,2996535,Emil,Marmol,3.0,2,50.0,5.0,Educational Research
VGVhY2hlci0yOTMwMDA1,2930005,Robert,Mason,3.2,5,60.0,3.6,Anthropology
VGVhY2hlci0zMDgzNTQ1,3083545,lisa,cruikshank ,4.5,2,100.0,1.5,Humanities
VGVhY2hlci0yODk2Mjg2,2896286,Odilia,Yim,1.3,36,5.5556,4.5,Psychology
VGVhY2hlci0zMDcxNTg0,3071584,Hayley,Liebenow,4.9,15,100.0,2.2,Psychology
VGVhY2hlci0zMDkwNDI1,3090425,Haley,Zubyk,5.0,9,100.0,1.9,Biology
VGVhY2hlci0zMTQ2ODA5,3146809,Tamara,Hogan,3.3,4,50.0,4.0,Mathematics
VGVhY2hlci0yODcwMDQ1,2870045,Mitchell,Mclvor ,5.0,37,100.0,2.1,Sociology
VGVhY2hlci0yODAyMDQy,2802042,Karina,Vold,2.3,3,33.3333,4.0,Philosophy
VGVhY2hlci0yNzgwMzMx,2780331,Mitchell,McIvor,4.8,32,96.875,2.0,Sociology
VGVhY2hlci0zMTIxMTQx,3121141,Alexandra,Malinowski,1.7,17,5.8824,4.4,Biology
VGVhY2hlci0zMTI0MTY3,3124167,Sarah,Robayo Sheridan,1.1,14,0.0,3.4,Fine Arts
VGVhY2hlci0yOTIxMTIw,2921120,Harry,Sha,4.7,10,90.0,2.8,Computer Science
